Título,Autor,Ano de publicação,Número de páginas
A Sorte Segue a Coragem,Mário Sérgio Cortella,2018,192
Viver em Paz Para Morrer em Paz,Mário Sérgio Cortella,2017,176
Mindset,Carol S. Dweck,2017,312
O Poder do Hábito,Charles Duhigg,2012,408
A Psicologia Financeira,Morgan Housel,2021,304
Essencialismo,Greg McKeown,2015,272
Como Fazer Amigos e Influenciar Pessoas,Dale Carnegie,2019,256
O Jeito Harvard de Ser Feliz,Shawn Achor,2012,216
Mais Esperto que o Diabo,Napoleon Hill,2014,208
O Monge e o Executivo,James C Hunter,1989,144
